episode,controller,reward,energy_wh,dist_m,wh_per_km,comfort_score,success,trip_type,traffic,payload
42,RuleBased,-2432.410633471527,258.354305740265,7992.120537285643,32.326127281860245,0.0,False,0,0,60
43,RL_Adaptive,-0.03205570467211587,0.0,0.0,0.0,0.9926071604649115,False,2,0,0
43,Eco,-745.9824589303096,83.84031460796142,6148.326528554115,13.636282038468428,0.0,True,2,0,0
43,Commute,-1384.3955264958997,137.63605567082215,6148.534258423931,22.38518155481543,0.0,True,2,0,0
43,Sport,-1484.420316980546,219.3481752021284,6149.720715411427,35.66798971088782,0.0,True,2,0,0
43,RuleBased,-1427.0963126613885,163.40169749876543,6150.748577609522,26.56614807725911,0.0,True,2,0,0
44,RL_Adaptive,-0.044878901554802585,0.0,0.0,0.0,0.991723532422438,False,1,0,30
44,Eco,-261.3005159892167,181.56971796948235,8976.405490928884,20.2274416137916,0.0,True,1,0,30
44,Commute,-422.7196521474695,210.01069326447364,8977.931013498097,23.39188092988549,0.0,True,1,0,30
44,Sport,-889.6000266496935,293.80009105136685,8974.309298298072,32.73790564663115,0.0,True,1,0,30
44,RuleBased,-528.839816367636,221.0836548670975,8977.050769984879,24.62764893859121,0.0,True,1,0,30
45,RL_Adaptive,-0.1251011887348863,0.0,0.0,0.0,0.9770994051701178,False,0,2,60
45,Eco,-3688.4620763880735,39.978362749323914,3739.4204792567775,10.691058406266672,0.0,False,0,2,60
45,Commute,-3212.635133709528,100.6132847510802,4744.74818618173,21.20518957024932,0.0,False,0,2,60
45,Sport,-2968.733877358207,173.54283577117522,5863.824053465785,29.59550528611164,0.0,True,0,2,60
45,RuleBased,-3152.2067981050827,95.37615546908746,4242.809066421113,22.479483280056954,0.0,False,0,2,60
46,RL_Adaptive,-0.12027780132822967,0.0,0.0,0.0,0.977972559694883,False,0,1,0
46,Eco,-1001.02606172333,81.42720291711946,5758.945885886138,14.139254740468902,0.0,True,0,1,0
46,Commute,-1532.5172373621126,125.54724377876903,5757.591637929557,21.805513776228164,0.0,True,0,1,0
46,Sport,-1874.3273972823517,177.00487679215053,5759.475635022562,30.732811111450623,0.0,True,0,1,0
46,RuleBased,-1797.3675592177963,144.56081542361687,5759.75948755135,25.098411788905114,0.0,True,0,1,0
47,RL_Adaptive,-913.5924847551637,37.461629815024956,1153.6906948908052,32.471120709325504,0.0,False,2,3,0
47,Eco,-3055.792799562153,5.754207385363486,3408.038047913449,1.6884222841603735,0.0,False,2,3,0
47,Commute,-3073.583824876245,47.82689943278618,3749.6766976300464,12.754939502654933,0.0,False,2,3,0
47,Sport,-3085.5064957458458,104.11044200982717,4078.518028712882,25.526537158077204,0.0,False,2,3,0
47,RuleBased,-3053.768219971639,40.19994493665596,3507.1421794282987,11.462308306875935,0.0,False,2,3,0
48,RL_Adaptive,-0.11409113127419641,0.0,0.0,0.0,0.9790936450243396,False,0,1,60
48,Eco,-721.0267356888546,93.49107964588599,5188.2511271409885,18.019767616261227,0.0,True,0,1,60
48,Commute,-1337.4853609612203,142.8523848028895,5189.661905833841,27.52633743680012,0.0,True,0,1,60
48,Sport,-1342.910753517438,202.53064055696908,5187.953249543319,39.038640252742695,0.0,True,0,1,60
48,RuleBased,-1859.7938748194376,177.6668572198064,5190.284500196283,34.230658687994364,0.0,True,0,1,60
49,RL_Adaptive,-0.07998763121144259,0.0,0.0,0.0,0.9816547063008905,False,2,0,60
49,Eco,-270.3443754622602,133.47736783241356,4915.356834138698,27.155173538037218,0.0,True,2,0,60
49,Commute,-345.7363139680767,143.39063874237928,4915.543368961795,29.17086229933205,0.0,True,2,0,60
49,Sport,-794.5190355886629,227.4748525561394,4918.610054452748,46.247791558554155,0.0,True,2,0,60
49,RuleBased,-404.2152247592916,148.05245204439498,4915.141662406939,30.121705988000734,0.0,True,2,0,60
